channel,account_id,account_display_name,mapped_name
facebook,100106458256720,ครูพี่หมี ติวภาษาอังกฤษ,ครูพี่หมี ติวภาษาอังกฤษ
facebook,1002461093150254,Anfield_Husky,Anfield_Husky
facebook,100315104676476,Histofun Deluxe,Histofun Deluxe
facebook,100353938099291,Pirate Trader,Pirate Trader
facebook,1003818116369693,The Snack,The snack
facebook,100382744770531,sicaopal,Sicaopol
facebook,100446128015526,TFEX HMUZ,TFEX HMUZ
facebook,1007073182687845,เที่ยวแบบมนุษย์เงินเดือน,เที่ยวแบบมนุษย์เงินเดือน
facebook,100760448213021,นักดองหนังสือ,นักดองหนังสือ
facebook,100781751419695,Hook Money,Hook Money
facebook,101144184588390,นักลงทุนหมายเลข6,นักลงทุนหมายเลข6
facebook,101159871515015,หมีลงทุน,หมีลงทุน
facebook,101184336998810,Epic Time,Epic Time
facebook,1013499382075538,Papeterie,p.papeterie
facebook,1013620718664806,My name is napat,My name is Napat
facebook,101404346919472,Sonia In Lost World,Sonia In Lost World
facebook,10150112899860397,HFlight.net ตั๋วเครื่องบิน รีวิว สายการบิน โรงแรมและการท่องเที่ยว,HFlight.net ตั๋วเครื่องบิน รีวิว สายการบิน โรงแรมและการท่องเที่ยว
facebook,101534846854308,หนังจวยจวย,หนังจวยจวย
facebook,1015561908481210,รู้ก่อนลืมแก่กับหมอเก่ง,รู้ก่อนลืมแก่กับหมอเก่ง
facebook,51620386454,Dek-D.COM - เด็กดีดอทคอม,Dek-D.COM – เด็กดีดอทคอม
facebook,132760397296,ILoveToGo,ilovetogo
facebook,253091606481,thaimobilecenter.com,thaimobilecenter.com
facebook,9378497097,Greenpeace Thailand,Greenpeace Thailand
facebook,177977948877,Bangkok International Motor Show,Bangkok International Motor Show
facebook,179427384205,XO Autosport,XO Autosport
facebook,101647048013143,เมนูอร่อย ทำง่ายๆ,เมนูอร่อย ทำง่ายๆ
facebook,101815121284197,เขียนไว้ให้เธอ,เขียนไว้ให้เธอ
facebook,1019440638150856,กระเพาะเดินทาง tummytravel,กระเพาะเดินทาง tummytravel
facebook,1021256787912654,Life with muay,Life with Muay
facebook,1021635414556582,Kru Whan : English On Air - ครูพี่หวาน,Kru Whan : English on Air-ครูพี่หวาน
facebook,102239469869866,ตี๋อ้วนชวนหิว,ตี๋อ้วนชวนหิว
facebook,102327316900280,เจ้าตัวเล็ก,เจ้าตัวเล็ก
facebook,333630673677031,Fit Kab Dao,Fit Kab Dao
facebook,1025084154186995,Uke-Uke,Uke-Uke
facebook,102535119800074,digitalay,Digitalay
facebook,1025837640777849,SAN CE Food,SAN CE
facebook,102691289790901,deknang.com,deknang.com
facebook,102755677858082,Tfex around the world V.2,Tfex around the world V.2
facebook,102911674393805,กับข้าวกับตา,กับข้าวกับตา
facebook,102949864547487,Do Munk,Munk TV
facebook,102977574394778,juunep,juunep
facebook,102980714466348,Playpost,Playpost
facebook,103040427778144,สรุปให้,สรุปให้
facebook,103133523098577,MiTH,MiTH
facebook,1031676243534492,คุณชายรีวิวหนังสือ,คุณชายรีวิวหนังสือ
facebook,103251841119482,FiengJoy - เฟี่ยงจอย,FiengJoy - เฟี่ยงจอย
facebook,1032928866750592,Lakoi DOTA2,Lakoi Dota2
facebook,1033197703477114,Chef Bus,Chef Bus
facebook,1033693113441760,BigBike,Bigbike
facebook,103438707902819,TAE,TAE
facebook,1035473453234491,พากล้องเที่ยว,พากล้องเที่ยว
facebook,103812494585163,เม่าโต้คลื่น,เม่าโต้คลื่น
facebook,1039352382781972,เราจะผอมไปด้วยกัน by Pitcha,เราจะผอมไปด้วยกัน by Pitcha
facebook,181803282198217,MassAutoCar,MassAutoCar
facebook,104003099656697,สิ่งเล็กๆที่เรียกว่ารัก,สิ่งเล็กๆที่เรียกว่ารัก
facebook,104115244411244,การลงทุน,การลงทุน
facebook,104155516327482,Air Palida Vikitsreth,Airvikitsreth
facebook,104189961138216,กาแฟหุ้น,กาแฟหุ้น
facebook,1042137372840871,ครูป้อนสอนอิงริช,ครูป้อนสอนอิงริช
facebook,104373836814667,ชีวิตติดเหล็ก ผอมชัวร์,ชีวิตติดเหล็ก ผอมชัวร์
facebook,104394774516005,หุ้น The Big Short,หุ้น The Big Short
facebook,1044161118950500,ZELFIE,Zellfie
facebook,104438311183699,Themoneyglow,Themoneyglow
facebook,104623820929914,Solo Investor,Solo Investor
facebook,1047327828611696,The Monster House,The Monster House
facebook,1047498781998164,Mini.note,mini.note
facebook,104764110354005,Wongnai Travel,Wongnai Travel
facebook,105147107736800,Born to Beer,BORN TO BEER
facebook,358556057845083,สะบัดแปรง,สะบัดแปรง
facebook,105338031104171,แวะมาอ่าน : Wae Ma Read,แวะมาอ่าน : Wae Ma Read
facebook,105532482813796,WellnessIdol,WellnessIdol
facebook,1055345184593327,เลี้ยงลูกสุดเหวี่ยง,เลี้ยงลูกสุดเหวี่ยง
facebook,105542256156559,stock2morrow,stock2morrow
facebook,105622849483704,Roger Films Studio,Roger Films
facebook,105747876138400,Ladyissue.com รีวิวเครื่องสำอาง,Ladyissue.com
facebook,105892010984738,Latdawan Channel,Latdawan Channel
facebook,1059274850932489,คนใฝ่รู้Studios,คนใฝ่รู้Studios
facebook,1059363964120419,FIFA Watafak,FIFA WaTaFak
facebook,105991352757407,PHOLFOODMAFIA - พลพรรคนักปรุง,PHOLFOODMAFIA
facebook,106057820996175,ครัวชั้นสูง - High Zone Kitchen,ครัวชั้นสูง - High Zone Kitchen
facebook,106095627503747,เม่ากลับใจ,เม่ากลับใจ
facebook,1062969473796308,เรียนภาษาญี่ปุ่นจากข่าวและจุดจุดจุด,เรียนภาษาญี่ปุ่นจากข่าวและจุดจุดจุด
facebook,106327593116199,ยืนงงในดงโค้ด,ยืนงงในดงโค้ด
facebook,106548504023800,W7folk Biker,WTFOLK BIKER
facebook,106620027563819,เล่มนี้อ่านจบที่ไหน,เล่มนี้อ่านจบที่ไหน
facebook,1067038046747550,Autolifethailand,autolifethailand official
facebook,106727167412656,โค้ดลับ 108 ซื้อ-ขายหุ้น,โค้ดลับ 108 ซื้อ-ขายหุ้น
facebook,1067616036664107,SANDY DIARY,sandy.diary
facebook,106889116087280,Thai Jogging Magazine,Thai Jogging Magazine
facebook,106967297332585,Noey Pannarai - เนยเจออันนี้,Noey Pannarai - เนยเจออันนี้
facebook,1069799089876490,Ezfin การเงินต้องวางแผน,Ezfin การเงินต้องวางแผน
facebook,1072285716197898,BKKfoodguide,BKKfoodguide
facebook,107263299311646,Zom Marie,Zom Marie
facebook,107297597279688,AI บ้านบ้าน,AI บ้านบ้าน
facebook,107484534139060,Trading Psychology จิตวิทยาการลงทุน,Trading Psychology จิตวิทยาการลงทุน
facebook,107668619386918,GameMonday,GameMonday
facebook,107788060726560,Peakky Money - เด็กการเงิน,Peakky Money - เด็กการเงิน
facebook,1078483232269881,ChinoToShare,chino to share
facebook,1078897498975606,The Background-ความเป็นมา-,THE BACKGROUND - ความเป็นมา-
facebook,108070257408868,My Quest,MyQuest
facebook,108070312559262,Vmodtech,Vmodtech
facebook,108333737426266,Ploy Style,Ploy Style
facebook,629759544022796,ภาษาไทย By ครูพี่เจมส์,ภาษาไทย By ครูพี่เจมส์
facebook,113780158959315,เลี้ยงลูกโตไปด้วยกันกับหมออร Hormone for Kids กุมารแพทย์ต่อมไร้ท่อ,เลี้ยงลูกโตไปด้วยกันกับหมออร Hormone for Kids กุมารแพทย์ต่อมไร้ท่อ
facebook,1085409208137603,JOETHz,JOETHz
facebook,108734153980706,DataProteins,DataProteins
facebook,108746020665285,อ่านแล้วนะ,อ่านแล้วนะ
facebook,108978797329955,Toeyprim,toeyprim
facebook,109139640577560,MeowCode - สอน python,MeowCode - สอน python
facebook,1092731204080242,ฉันกลัวที่แคบ,ฉันกลัวที่แคบ
facebook,109327779118887,Hell Eating And Travel : HEAT,Hell Eating And Travel : HEAT
facebook,1094487730612262,Teethory,teethory
facebook,1095947270526247,กิน เที่ยว ถ่าย,กิน เที่ยว ถ่าย
facebook,109878683750141,Thaimetagame,Thaimetagame
facebook,110041290379079,Stackpython,Stackpython
facebook,110108810594652,korean everyday - เกาหลีวันละนิดจิตแจ่มใส,korean everyday - เกาหลีวันละนิดจิตแจ่มใส
facebook,110325275488,efinanceThai,efinanceThai
facebook,110342227201537,สารบัญ Gaming MODE,สารบัญ Gaming MODE
facebook,1105009449572786,VIPS Station,VIPS Station
facebook,1105108129531451,Buffettcode,Buffettcode
facebook,110561957238842,เข้าครัวกัน Chanel,เข้าครัวกัน Chanel
facebook,1109835245701916,ก้นครัวไม่กลัวหิว,ก้นครัวไม่กลัวหิว
facebook,1109907242447884,BeBell,BeBell
facebook,111016625715988,โปรแกรมเมอร์กากๆ,โปรแกรมเมอร์กากๆ
facebook,111032520228135,Talon Esports TH,Talon Esports TH
facebook,1111670492346974,หมูปิ้ง หมาหัวหงอก,หมูปิ้ง หมาหัวหงอก
facebook,1111995852155904,Bebe Fit Routine,Bebe Fit Routine
facebook,111224023738116,ไม่ง้อยา by หมอบุรินทร์,ไม่ง้อยา by หมอบุรินทร์
facebook,111317663818867,10นาทีกับหมอต่อ,10นาทีกับหมอต่อ
facebook,111475210234104,หมอดาราวดี มีเรื่องเล่า,หมอดาราวดี มีเรื่องเล่า
facebook,111476199189252,Bliss Out There,Bliss Out There
facebook,111580076933040,Money Growths.,Money Growths.
facebook,111759800203927,Stock Stories,Stock Stories
facebook,112028982183232,108blog,108blog
facebook,112424966917165,ไดอารี่การเงิน - Money Diaries,ไดอารี่การเงิน - Money Diaries
facebook,112453422746177,อยากเที่ยวก็เที่ยว,อยากเที่ยวก็เที่ยว
facebook,112853268914512,I Roam Alone,I Roam Alone
facebook,112992245418145,MacroView,MacroView
facebook,113004723378031,Last book in the universe,Last book in the universe
facebook,1132505570136386,AKN Blog,AKN Blog
facebook,113397052526245,ลงทุนแมน,ลงทุนแมน
facebook,1134473426637248,OHANA,Ohana
facebook,1143383362379163,ตามติดชีวิตผีบ้า,ตามติดชีวิตผีบ้า
facebook,1143902692317633,บันทึกนักหนีเที่ยว,บันทึกนักหนีเที่ยว
facebook,114518109274672,หมอเวร,หมอเวร
facebook,114586543318167,หนอน หนังสือ,หนอน หนังสือ
facebook,114648418640969,Go!Graph,Go!Graph
facebook,114657742365420,Stocklittle.com ลงทุนหุ้น,Stocklittle.com ลงทุนหุ้น
facebook,114684511887112,แมงเม่าคลับ แบ่งปันความรู้ในการเล่นหุ้น,แมงเม่าคลับ แบ่งปันความรู้ในการเล่นหุ้น
facebook,114728313292584,Pop a Panda,POP A PANDA
facebook,1147562675377631,Runner's journey,Runner's journey
facebook,115057766565563,ต้วมเตี้ยมแมวขี้หวง,ต้วมเตี้ยมแมวขี้หวง
facebook,115217438559709,นายแว่น ลงทุน - Naiwaen Investment,นายแว่น ลงทุน - naiwaen investment
facebook,116132435108199,Farose,Farose
facebook,116373061722109,Vanilla.in.th,Vanilla.in.th
facebook,1164991113610312,เลี้ยงลูกรอบโลก,เลี้ยงลูกรอบโลก
facebook,116557358912055,Chinnamo,ChinNaMo
facebook,1166280473514443,เมื่อครีเอทีฟพบจิตแพทย์,เมื่อครีเอทีฟพบจิตแพทย์
facebook,215052905365961,Mission To The Moon,Mission To The Moon
facebook,117161128334587,TechXcite,techxcite
facebook,117783054919171,หมื่นทิพ,หมื่นทิพ
facebook,117938045484598,อ่านแล้วเล่า,อ่านแล้วเล่า
facebook,1179571812101361,ลาพักเที่ยว,ลาพักเที่ยว
facebook,118209918234524,หนุ่มเมืองจันท์,หนุ่มเมืองจันท์
facebook,118632905254127,Getout Thailand,Getout Thailand
facebook,1187718121329930,Jabz,Jabz
facebook,1192557244094483,โดดงานไป,โดดงานไป
facebook,119275421551380,บ่นบ่น,บ่นบ่น
facebook,1194579164005256,แซ่บ,แซ่บ
facebook,119623558698451,ใกล้หมอจิ๋ม,ใกล้หมอจิ๋ม
facebook,119804644753798,Let's Eat Thailand กิน/เที่ยว/ที่เดียวครบ,Let's Eat Thailand กิน/เที่ยว/ที่เดียวครบ
facebook,119832502018737,เห็นหมีรีวิว,เห็นหมีรีวิว
facebook,120037831424870,Mhunoiii,Mhunoiii
facebook,120229405310135,น้องนี,น้องนี
facebook,120245224840163,iNewch,iNewch
facebook,1209041419174610,Spice Beauty,Spice Beauty
facebook,12105421715,Blognone,Blognone
facebook,121125451868285,ออมเงิน,ออมเงิน
facebook,1211849898956812,Misterbeam,Misterbeam
facebook,121288987898365,Buffalo Gags,Buffalo Gags
facebook,121503281200135,Pipo diy,Pipo DIY
facebook,121639869237321,เขาว่าฉันติดนิยาย,เขาว่าฉันติดนิยาย
facebook,121724685122371,เที่ยวซิคะ,เที่ยวซิคะ
facebook,121778711349337,Group B,Group B
facebook,122069651274589,สมาคมรถแต่ง,สมาคมรถแต่ง
facebook,1223463707762037,Beyond esports,Beyond esports
facebook,1225059317586787,ตัวคนเดียวก็เที่ยวได้,ตัวคนเดียวก็เที่ยวได้
facebook,1225060557634025,เฉโปแมวโง่,เฉโปแมวโง่
facebook,122555811119000,MThai Travel,MThai Travel
facebook,1225591014202463,Arifah KH,Arifah KH
facebook,122659051549819,ฝนตกเป็นหนัง,ฝนตกเป็นหนัง
facebook,123727281010582,ลงทุน หุ้น www.sarut-homesite.net,ลงทุน หุ้น www.sarut-homesite.net
facebook,123955901005882,Duet Diary ตามรอยเที่ยว,Duet Diary ตามรอยเที่ยว
facebook,124119624290034,theTripPacker,theTripPacker
facebook,124596100918427,mxphone,mxphone
facebook,1248376998605940,Life of Cars Bkk - ตามติดชีวิต 4 ล้อ,Life of Cars Bkk - ตามติดชีวิต 4 ล้อ
facebook,272520502944456,กินเพลิน เดินเที่ยว,กินเพลิน เดินเที่ยว
facebook,125193917601376,ไปให้ถึง100ล้าน,ไปให้ถึง100ล้าน
facebook,520508461475632,เรียนเหอะ อยากสอน,เรียนเหอะ อยากสอน
facebook,125837970785202,DroidSans,DroidSans
facebook,1260243364041122,นวล,นวล
facebook,1266356126725477,Cheftablebychefart,Cheftablebychefart
facebook,126836487375715,MudleyGroup,MudleyGroup
facebook,127206563964147,ManagerGame,ManagerGame
facebook,127711027317949,สุดสัปดาห์แฟนคลับ,สุดสัปดาห์แฟนคลับ
facebook,1279413135445288,ป้าแบ็คแพ็ค,ป้าแบ็คแพ็ค
facebook,1280445142063956,Edward10516 : เอ็ดเวิร์ด,Edward10516 : เอ็ดเวิร์ด
