channel,account_id,type_value,value,total,account_display_name
youtube,UCdLGCJcIGu5ExzYN6CXtkIw,fan,14100000.0,19946677.626506023,Kaykai Salaider
youtube,UCdLGCJcIGu5ExzYN6CXtkIw,average_engagement_per_post,5846677.626506024,19946677.626506023,Kaykai Salaider
youtube,UC5zGJZpxeZPFcds5gFcDE7Q,fan,12500000.0,14495327.327027027,zbing z.
youtube,UC5zGJZpxeZPFcds5gFcDE7Q,average_engagement_per_post,1995327.327027027,14495327.327027027,zbing z.
youtube,UCjVb9mJZTeuPLN4hOjmvQnw,fan,12000000.0,13859538.49142857,Bie The Ska
youtube,UCjVb9mJZTeuPLN4hOjmvQnw,average_engagement_per_post,1859538.4914285715,13859538.49142857,Bie The Ska
youtube,UC7rtE7hSTaC8xDf5v_7O1qQ,fan,9770000.0,10993341.188940093,My Mate Nate
youtube,UC7rtE7hSTaC8xDf5v_7O1qQ,average_engagement_per_post,1223341.1889400922,10993341.188940093,My Mate Nate
youtube,UC_hOlm5C3ttRFcGP5WL9sSw,fan,8280000.0,9570665.782828283,UDiEX2
youtube,UC_hOlm5C3ttRFcGP5WL9sSw,average_engagement_per_post,1290665.7828282828,9570665.782828283,UDiEX2
youtube,UCyRXnSFPjQ7JcQJvebSPYcg,fan,8760000.0,9214216.366906475,ครูนกเล็ก
youtube,UCyRXnSFPjQ7JcQJvebSPYcg,average_engagement_per_post,454216.3669064748,9214216.366906475,ครูนกเล็ก
youtube,UCyEd6QBSgat5kkC6svyjudA,fan,7070000.0,8969639.166666666,Mark Wiens
youtube,UCyEd6QBSgat5kkC6svyjudA,average_engagement_per_post,1899639.1666666667,8969639.166666666,Mark Wiens
youtube,UCbjxYa1F_1Lbm-IA5yAgWxg,fan,7740000.0,8579556.544401545,CGGG
youtube,UCbjxYa1F_1Lbm-IA5yAgWxg,average_engagement_per_post,839556.5444015444,8579556.544401545,CGGG
youtube,UCiHQ5AywCFKF6q-C5dIguVQ,fan,4460000.0,8462907.323529411,SpriteDer SPD
youtube,UCiHQ5AywCFKF6q-C5dIguVQ,average_engagement_per_post,4002907.3235294116,8462907.323529411,SpriteDer SPD
youtube,UC1r0DxlsYF0qpbYe4xuWMkw,fan,7140000.0,8373830.369458128,HeHaa TV
youtube,UC1r0DxlsYF0qpbYe4xuWMkw,average_engagement_per_post,1233830.369458128,8373830.369458128,HeHaa TV
youtube,UCzyeq_iKmrFTBQ0kzNSqMtg,fan,6820000.0,8246027.0099502485,PojzPlaza
youtube,UCzyeq_iKmrFTBQ0kzNSqMtg,average_engagement_per_post,1426027.0099502488,8246027.0099502485,PojzPlaza
youtube,UC8jdjGFODrFuR3e-HTmcsAw,fan,6650000.0,8228529.150793651,PEACH EAT LAEK
