channel,day,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
facebook,Monday,4853774,2908066,1031590,906472,1168498,3006852,9008144,19891435,25140277,25513281,31323325,38251701,33749396,29659682,29034273,30583150,37937578,41325721,47607928,54822236,56577605,37580280,21694024,11605199
facebook,Tuesday,4196541,2368930,752242,769504,1211603,2316783,8158689,20559995,25882855,24388653,28904203,36326344,33790136,27088832,26288532,29074671,34399828,40752854,47279772,59934222,57588478,35371239,21536044,10619102
facebook,Wednesday,5883349,2262830,927403,1208862,994608,2863377,8758217,20847578,27261058,28695284,31355185,40243589,36985280,28760543,28869297,32949540,34920761,41908784,48209868,60407976,57781005,36162589,22535984,10340883
facebook,Thursday,4928247,2158542,1398275,863799,1228173,2453561,8562003,19879640,26695205,26464400,29434792,37304773,38075945,29633134,29492234,30173633,35478046,44985010,50592469,62249179,61857107,37582575,22208245,11990076
facebook,Friday,5120897,2691774,1030717,993534,1867892,2554406,9517400,20440662,26900503,27689580,32263107,39246102,36296294,32053026,28368340,32288334,36685292,50959943,46447736,53395733,54914787,35009413,23511624,10994848
facebook,Saturday,5127923,2608006,1249531,955877,1448305,2192205,7427149,17526450,24907979,30075811,34294826,36110522,36901584,31703380,28701919,27434949,31215096,38807931,42532214,49811912,52281566,33231319,23250697,11967569
facebook,Sunday,5033413,2766280,1460449,1127086,1450064,2461711,6072927,15866768,23201955,30121833,35018274,36972473,34713864,31950972,26596290,28836809,30128081,34694608,39372633,49357099,50383394,34342239,19096947,8945650
instagram,Monday,3990093,521126,773741,854314,150663,415584,1270570,5059488,12807476,11867348,15978587,24258768,332053485,16227683,325912900,18033309,20491449,335206494,32606839,351647786,40745723,30472582,18849192,8094216
instagram,Tuesday,2567565,877389,666574,388152,362112,252033,1306864,4719590,12843773,13014487,17003535,26587083,24315468,18595681,19382555,18777330,20889248,29881352,35921268,672316578,39400991,31033792,18262571,7603754
instagram,Wednesday,4625829,1485316,627050,672752,376470,310589,2930589,5286971,15530128,13086774,18229737,22805753,20671084,18569769,19328526,18067177,20786660,337429204,350083946,38137890,48946470,28288682,14077135,8599456
instagram,Thursday,4592736,1136247,492294,382064,414340,293280,1576720,7697844,14535559,10311763,17299838,334255541,25269069,18515033,326520947,20562699,330502509,29249433,350133152,352112785,352773543,31083534,18241203,7452299
instagram,Friday,3231125,1013620,453648,633447,465542,578093,1411921,316484672,13508748,11189784,17962731,956192285,335420327,19248876,18445773,17297508,333157480,646558599,40157256,36987256,36557090,35798520,19566724,9075971
instagram,Saturday,3681118,515858,504049,563282,324115,322401,1228452,4033167,10665021,14604971,22559693,24618825,336819009,21215311,22474196,22384213,23013071,24099881,342771343,36616084,355533136,26223874,17964278,10535843
instagram,Sunday,5569670,1442617,463335,678002,181234,295626,1408108,3865955,13296834,14543803,20697804,335759450,29855806,22619928,640984419,19740573,21549086,27624402,29983144,38205558,358720031,335788243,16351351,10909291
twitter,Monday,513314,394872,111039,155139,84979,77281,100322,322721,383921,806632,1092899,1337549,1803616,1530603,1349523,1078973,1294682,1357321,1351532,1666453,2156490,1825805,1283960,1247330
twitter,Tuesday,730605,425563,179688,112119,100617,26511,50819,368947,451193,825185,1238929,1295900,1369135,1444905,1129479,1187638,995398,1565248,1605009,1872519,2163013,1638034,1023223,1009850
twitter,Wednesday,1349775,498809,192201,54223,52637,65404,114555,335115,515951,1115508,1033344,1562795,1414314,1289050,940212,1166703,1173663,1399102,1582987,1712002,1829954,2095736,1450510,1009758
twitter,Thursday,757820,340337,325515,85384,48942,224525,164399,409183,772989,772488,1067072,1475508,1581543,1739755,1107633,1397211,984045,1315597,1579060,1985394,1859552,1567284,1242349,993427
twitter,Friday,784373,309603,156475,53945,51030,65318,40994,404366,616857,772174,982101,1178632,1302820,1450823,1202423,1188462,1191753,1351685,1472323,2292042,2140122,1841270,1602707,1198718
twitter,Saturday,730719,478367,214564,156198,17130,79582,161923,270517,634643,936821,830789,1364012,1242777,1332876,1136764,1306158,1193581,1486846,1599686,1598400,1811162,1943374,1917623,1251919
twitter,Sunday,994744,440581,190256,91115,32900,34607,128699,105930,537122,919752,1014017,1073680,1217403,1447736,1162673,1056100,1406761,1734950,1373356,1884037,1873523,1550361,1603195,868295
youtube,Monday,14190930,30857556,12961074,8728989,2730526,6368774,46668934,93487498,46317611,82808056,74636722,81038831,48302601,40220929,53102972,62931631,237899866,339566044,247635865,210308455,146757267,49688790,18518418,12563951
youtube,Tuesday,8487638,10337695,7071193,4498672,2529442,6316766,60374915,98157833,51432832,76160806,75597383,69955264,43657244,41062281,66566350,142705427,575964841,412148184,308749444,262212583,192230672,52117461,21116192,10149393
youtube,Wednesday,28224814,17393688,8976023,7427617,3376064,6084888,79087380,93924839,58375423,66132483,116812216,58506337,75485154,47657803,56807813,115255692,387772434,548425273,272075548,253271131,264043418,53949275,31075211,11461950
youtube,Thursday,12737235,16048556,15501383,15034645,6122505,5195404,60597560,101477340,73973108,93515106,71689691,28275281,47749163,40273499,48988806,105516830,440282021,521295430,338806847,280265867,177066800,55135394,23128386,11841399
youtube,Friday,17984767,20327142,15472487,8898035,2471338,12525030,66862510,124079990,73632477,77501693,77066843,102891868,73393570,47228954,58724231,127990119,453687513,773247214,331567424,256592161,203721883,69156308,24091927,10932584
youtube,Saturday,11086053,13585316,10885613,9859828,2722833,3488473,60060646,267857829,300807765,319131318,449551418,232627947,299104977,79526035,156308564,111704910,232770586,424452696,286374169,199576773,128951367,46726839,27907819,10785140
youtube,Sunday,18244752,20553271,9672382,11919806,2380931,3106039,59130077,189320702,255787697,341424575,314117684,120103863,176862139,86041887,86120267,119885909,142312176,367931618,242172341,196075008,212409926,48253749,22513915,9511910
