account_id,type,value,account_display_name,category,fan_range
1003818116369693,total_engagement,3641397,The Snack,Blogger/Influencer,500K-1M
1003818116369693,reaction,3303091,The Snack,Blogger/Influencer,500K-1M
1003818116369693,share,223715,The Snack,Blogger/Influencer,500K-1M
1003818116369693,comment,95500,The Snack,Blogger/Influencer,500K-1M
1003818116369693,tag_friend,17997,The Snack,Blogger/Influencer,500K-1M
1003818116369693,purchase_intention,1094,The Snack,Blogger/Influencer,500K-1M
1013620718664806,total_engagement,1002475,Aum napat,Blogger/Influencer,500K-1M
1013620718664806,reaction,912689,Aum napat,Blogger/Influencer,500K-1M
1013620718664806,share,66391,Aum napat,Blogger/Influencer,500K-1M
1013620718664806,comment,17087,Aum napat,Blogger/Influencer,500K-1M
1013620718664806,tag_friend,5469,Aum napat,Blogger/Influencer,500K-1M
1013620718664806,purchase_intention,839,Aum napat,Blogger/Influencer,500K-1M
10150103156550556,total_engagement,763905,FEONALITA,Blogger/Influencer,500K-1M
10150103156550556,reaction,701350,FEONALITA,Blogger/Influencer,500K-1M
10150103156550556,share,20852,FEONALITA,Blogger/Influencer,500K-1M
10150103156550556,comment,26654,FEONALITA,Blogger/Influencer,500K-1M
10150103156550556,tag_friend,14007,FEONALITA,Blogger/Influencer,500K-1M
10150103156550556,purchase_intention,1042,FEONALITA,Blogger/Influencer,500K-1M
1021635414556582,total_engagement,8127076,Kru Whan : English On Air - ครูพี่หวาน,Education,500K-1M
1021635414556582,reaction,4898186,Kru Whan : English On Air - ครูพี่หวาน,Education,500K-1M
1021635414556582,share,2031037,Kru Whan : English On Air - ครูพี่หวาน,Education,500K-1M
1021635414556582,comment,1119327,Kru Whan : English On Air - ครูพี่หวาน,Education,500K-1M
1021635414556582,tag_friend,74378,Kru Whan : English On Air - ครูพี่หวาน,Education,500K-1M
1021635414556582,purchase_intention,4148,Kru Whan : English On Air - ครูพี่หวาน,Education,500K-1M
102327316900280,total_engagement,1191294,เจ้าตัวเล็ก,Writer and Quote,300K-500K
102327316900280,reaction,864832,เจ้าตัวเล็ก,Writer and Quote,300K-500K
102327316900280,share,287650,เจ้าตัวเล็ก,Writer and Quote,300K-500K
102327316900280,comment,25585,เจ้าตัวเล็ก,Writer and Quote,300K-500K
102327316900280,tag_friend,13070,เจ้าตัวเล็ก,Writer and Quote,300K-500K
102327316900280,purchase_intention,157,เจ้าตัวเล็ก,Writer and Quote,300K-500K
102407273139759,total_engagement,2080134,my home,Home Decoration,500K-1M
102407273139759,reaction,1489474,my home,Home Decoration,500K-1M
102407273139759,share,455642,my home,Home Decoration,500K-1M
102407273139759,comment,79957,my home,Home Decoration,500K-1M
102407273139759,tag_friend,53129,my home,Home Decoration,500K-1M
