All_label,Parent,Value,Value_raw,
Twitter,,,,
Sales,Twitter,14.23,14754,
News,Twitter,18.92,19609,
Education,Twitter,12.52,12975,
Travel,Twitter,10.86,11254,
Food&Dessert,Twitter,8.54,8855,
Covid19,Twitter,11.73,12153,
Finance&Business,Twitter,5.88,6096,
Beauty,Twitter,7.10,7361,
IT,Twitter,5.22,5413,
Horoscope,Twitter,4.99,5177,
#SaleHere,Sales,51,7563,
#ปันโปร,Sales,26,3827,
#รีวิวเซเว่น,Sales,9,1257,
#ของดีบอกต่อ,Sales,7,1103,
#ไว้รีวิวห้ามขายของโว้ยย,Sales,7,1004,14754
#อีจัน,News,26,5110,
#EJanNews,News,25,4858,
#ข่าว,News,24,4662,
#misterban,News,22,4262,
#เศรษฐกิจ,News,4,717,
#ศิลปวัฒนธรรม,Education,31,4029,
#SilpaMag,Education,31,4003,
#ประวัติศาสตร์,Education,22,2822,
#TCAS,Education,9,1163,
#dek64,Education,7,958,
#ไปไหนดี,Travel,33,3740,
#painaidii,Travel,33,3726,
#รีวิวที่พัก,Travel,13,1497,
#รีวิวเกาหลี,Travel,10,1172,
#รีวิวเชียงใหม่,Travel,10,1119,
#อร่อยบอกต่อ,Food&Dessert,41,3647,
#อร่อยไปแดก,Food&Dessert,26,2278,
#รีวิวคาเฟ่,Food&Dessert,16,1389,
#bkkmenu,Food&Dessert,10,901,
#เรื่องกินเรื่องใหญ่,Food&Dessert,7,640,
#โควิด19,Covid19,46,5610,
#COVID19,Covid19,35,4278,
#Covid_19,Covid19,11,1349,
#กักตัวอยู่บ้านแล้วมาเที่ยวผ่านบทความดีกว่า,Covid19,4,496,
#ยอดผู้ติดเชื้อ,Covid19,3,420,
#SET,Finance&Business,25,1497,
#MoneyBuffalo,Finance&Business,22,1368,
#หุ้นเด่น,Finance&Business,20,1194,
#หุ้นวันนี้,Finance&Business,20,1193,
#ลงทุนแมน,Finance&Business,14,844,
#SistaCafe,Beauty,42,3115,
#HowtoPerfect,Beauty,42,3099,
#HowtoBeauty,Beauty,7,486,
#makeup,Beauty,5,381,
#noyneungmakeup,Beauty,4,280,
#beartai,IT,46,2490,
#Apple,IT,17,901,
#iphonedroid,IT,15,786,
#imod,IT,13,710,
#iphone,IT,10,526,
#ดูดวง,Horoscope,40,2066,
#aดวง,Horoscope,36,1852,
#ดวงความรัก,Horoscope,9,463,
#ดวงรายวัน,Horoscope,9,457,
#12ราศี,Horoscope,7,339,
