,account_display_name,view,count,avg_view,created_at,fan,type_fan
0,007NN,6685407,75,89138,2020-12-28 20:58:42,399000,Silver
1,108Life,229004679,350,654299,2020-12-14 16:30:03,5310000,Gold
2,10kcalmuscle,63375192,141,449469,2020-12-14 17:00:03,699000,Silver
3,10นาทีกับหมอต่อ,12178867,64,190294,2020-10-14 08:00:02,305000,Silver
4,12Time,883263,18,49070,2020-02-05 17:59:38,1000000,Gold
5,12TimeWeCCG,42154461,340,123983,2020-12-31 12:30:00,1170000,Gold
7,20TV,3345483,49,68275,2020-04-28 19:15:01,277000,Silver
8,20TV : ยี่สิบทีวี,516514,34,15191,2020-12-24 19:00:07,295000,Silver
10,2MadamesTV,31986956,258,123980,2020-12-31 08:30:03,1430000,Gold
11,2how,1015023,132,7689,2020-12-30 23:17:48,196000,Silver
15,9arm,11221957,89,126089,2020-12-31 10:00:10,304000,Silver
17,A-Academy Channel,228921,36,6358,2020-12-31 22:03:26,136000,Silver
18,AD-AOF TV,2521177,122,20665,2020-12-31 22:53:13,243000,Silver
19,ADBIG,8762472,415,21114,2020-12-30 22:14:10,354000,Silver
21,ANGEL DEATHGAME,2471842,160,15449,2020-12-26 23:18:46,388000,Silver
23,ANO and Friends,11485905,63,182315,2020-12-31 16:35:20,152000,Silver
26,ARISA ASMR,7084780,18,393598,2020-12-16 20:55:07,471000,Silver
28,Abdulthaitube - อับดุลย์เอ๊ย ถามไรตอบได้!,19830471,368,53887,2020-12-31 18:00:16,691000,Silver
29,AdK ก้องไก่กุ้กๆ,11177624,568,19678,2020-12-30 10:04:33,209000,Silver
30,Adam Bradshaw,1650677,159,10381,2020-12-27 16:28:02,1000000,Gold
32,Ahtee PaPaNG,30302693,357,84881,2020-12-31 17:00:17,1260000,Gold
33,Air Viki,15862,4,3965,2020-12-15 17:00:05,127000,Silver
35,Ajumma Nammy,116797984,112,1042839,2020-12-31 12:37:59,1700000,Gold
36,Alie Blackcobra,8907742,79,112756,2020-12-28 18:15:37,567000,Silver
37,All by On’oum,13355776,59,226369,2020-12-30 16:30:02,250000,Silver
38,Alrisaa,2236481,15,149098,2020-12-24 21:36:11,196000,Silver
39,Amy Kitiya,32628377,182,179276,2020-12-30 19:41:01,1290000,Gold
40,Antoine Pinto - อองตวน ปินโต,19897339,65,306112,2020-12-31 21:40:08,398000,Silver
41,Antonio Attorney ที่ปรึกษาด้านสินเชื่อ และการเงิน,5535229,582,9510,2020-12-30 17:30:17,250000,Silver
42,Aoffy Maxim,4513183,22,205144,2020-10-23 23:51:10,4690000,Gold
46,Arainy,37061856,126,294141,2020-12-31 08:00:03,2400000,Gold
47,Archita Station,7038302,64,109973,2020-12-24 17:00:12,1310000,Gold
48,Arifah Kh,4085478,62,65894,2020-12-17 18:31:50,399000,Silver
49,ArmHypnosTv,4854042,219,22164,2020-12-31 06:30:01,1930000,Gold
50,Armmakeup,50237,31,1620,2020-07-04 20:12:07,132000,Silver
52,Art AirsoftGun,20592376,42,490294,2020-12-28 18:15:05,1720000,Gold
53,Asayhi channel,2649074,143,18524,2020-12-30 21:12:11,123000,Silver
55,Attempt Z,40839368,183,223165,2020-12-28 17:16:25,1820000,Gold
56,Au Awesome,14366518,598,24024,2020-12-30 23:14:15,260000,Silver
59,AutoDay,103110,4,25777,2020-01-21 11:20:04,188000,Silver
60,AutoHead,53280,2,26640,2020-01-30 11:11:47,189000,Silver
61,AutoHead Studio,359210,7,51315,2020-02-07 12:32:38,191000,Silver
66,Autospinn Channel,611813,63,9711,2020-12-21 09:00:05,144000,Silver
70,BEAN HEALTHY,2016761,49,41158,2020-09-13 18:19:04,155000,Silver
72,BEBE FIT ROUTINE,13291007,40,332275,2020-11-28 10:00:04,949000,Silver
73,BIVOYAGE,1395531,28,49840,2020-12-26 12:30:01,164000,Silver
76,BLACK SHUFFLE,528917,61,8670,2020-10-26 20:00:01,229000,Silver
79,Babyjingko,8725981,73,119533,2020-12-13 20:51:25,466000,Silver
80,Bacon Time,4144041,82,50537,2020-12-31 10:30:02,637000,Silver
81,Ball Fishing Thailand น้าบอล,3264533,303,10774,2020-12-31 14:49:10,113000,Silver
83,Bangkok Esports,13610993,124,109766,2020-12-31 13:00:03,187000,Silver
87,Bankgarmo,28137853,691,40720,2020-12-31 20:35:50,1250000,Gold
89,Baroctar,2575369,69,37324,2020-12-30 17:26:14,498000,Silver
90,Basgamer,4317795,47,91867,2020-11-26 19:26:57,659000,Silver
91,Bay Riffer,125549648,342,367104,2020-12-30 03:56:11,3610000,Gold
92,BeBell,16579502,101,164153,2020-12-30 17:00:06,853000,Silver
93,Beam-Oil Channel,14915476,60,248591,2020-12-30 17:00:07,306000,Silver
94,Bearhug,100296246,82,1223124,2020-12-26 15:00:06,3480000,Gold
96,Beauty Mouthsy,6502860,210,30966,2020-12-30 18:34:38,227000,Silver
97,Berserker Game,30244245,514,58840,2020-12-31 20:00:17,1070000,Gold
100,Bew Varaporn,17302778,165,104865,2020-12-30 16:00:09,530000,Silver
103,Bie The Ska,316651467,175,1809436,2020-12-30 16:54:51,12000000,Diamond
107,BlaSTzFun Ch,172833,77,2244,2020-02-13 21:49:31,182000,Silver
108,Blacklist Secret Official,896681,27,33210,2020-12-31 11:54:27,195000,Silver
109,Blacklist secret Official,4883527,73,66897,2020-08-31 21:20:33,184000,Silver
111,Blue O'Clock,1756754,63,27884,2020-12-24 19:54:35,133000,Silver
112,Bon Gamerz,62391167,357,174765,2020-12-31 23:48:03,2570000,Gold
113,Bon Jakobsen,2544429,81,31412,2020-12-25 18:56:47,242000,Silver
116,Booky HealthyWorld,802683,25,32107,2020-11-27 09:00:03,791000,Silver
117,BoomTharis,49775249,121,411365,2020-12-30 17:00:26,1190000,Gold
118,BoxSkin Bz.,29218952,284,102883,2020-12-30 19:42:15,1690000,Gold
119,BoxZa Racing Channel,595498,92,6472,2020-12-02 17:57:05,476000,Silver
120,Boysick Channel,14864,3,4954,2020-04-23 19:33:46,266000,Silver
121,Brianna's Secret Club TH,362064634,403,898423,2020-12-31 08:39:00,5640000,Gold
122,Brinkkty,14095346,126,111867,2020-12-30 20:55:17,409000,Silver
123,Buablink,6720798,85,79068,2020-12-28 16:15:01,614000,Silver
126,Buffet Channel,64410776,167,385693,2020-12-30 19:00:11,1130000,Gold
127,CGGG,205746839,259,794389,2020-12-30 18:45:02,7740000,Gold
128,CHERRYMAN,4335278,114,38028,2020-12-25 19:00:14,264000,Silver
129,CHUJAI FAMILY,3304492,47,70308,2020-12-27 18:00:05,351000,Silver
130,CRK,2485333,63,39449,2020-11-14 17:00:03,728000,Silver
131,CRK CreativeKim,110794,6,18465,2020-01-24 17:00:08,723000,Silver
132,CarDebuts,44867415,494,90824,2020-12-30 15:44:04,717000,Silver
134,Ceemeagain,670974,68,9867,2020-12-31 23:45:01,655000,Silver
135,Ceemeagain Chatpawee,7105921,321,22136,2020-10-24 09:21:16,645000,Silver
138,Cherry E Bright,135197,23,5878,2020-12-22 23:15:36,679000,Silver
139,Chickypie,130928621,249,525817,2020-12-31 12:38:09,4740000,Gold
141,ChillChannel,200832,10,20083,2020-01-13 15:34:24,228000,Silver
143,Chillpainai,11753422,389,30214,2020-09-18 18:03:12,341000,Silver
144,Chillpainai ชิลไปไหน,1091372,267,4087,2020-12-27 17:00:09,382000,Silver
145,ChinNaMo,489354,42,11651,2020-06-23 20:39:16,143000,Silver
147,Chompoo Sangchan,10116814,1249,8099,2020-12-31 11:50:11,662000,Silver
149,CigaretteS TV,16554755,28,591241,2020-12-25 12:48:50,457000,Silver
155,Cony Cry,6332118,49,129226,2020-12-25 19:00:10,147000,Silver
156,Cooking station,671916,38,17682,2020-09-24 10:00:04,153000,Silver
159,CreativeKim,40025,7,5717,2020-12-31 23:57:04,728000,Silver
163,DJ.DREAMERTH,57226415,203,281903,2020-12-27 10:00:03,3650000,Gold
166,DREPLAY,38063,10,3806,2020-12-10 19:43:34,201000,Silver
167,DUJDOW Channel,681787,82,8314,2020-12-31 11:00:06,102000,Silver
168,DZee Studio,15371731,80,192146,2020-12-16 18:40:05,346000,Silver
170,Daimod channnel,1440958,2,720479,2020-12-03 12:22:36,974000,Silver
172,Danny TH,3821139,464,8235,2020-12-31 12:23:42,290000,Silver
179,Dek Jew Chill Out,289827776,352,823374,2020-12-13 16:00:24,4090000,Gold
180,Dek Jew Small World,7224806,100,72248,2020-12-11 16:30:03,1450000,Gold
182,Deklaaon Channel,80383156,215,373875,2020-12-30 17:00:02,3000000,Gold
183,DevilMeiji,72848938,291,250339,2020-10-12 19:40:06,1750000,Gold
184,Diesel Thailand FC,399212,50,7984,2020-12-23 13:09:35,143000,Silver
186,Doctor Top,15644276,521,30027,2020-12-31 20:00:01,316000,Silver
187,Dopper,1091895,13,83991,2020-03-02 09:32:40,404000,Silver
190,Doyser,90148745,292,308728,2020-12-30 09:00:01,2110000,Gold
192,Dr.V Channel,10477174,302,34692,2020-12-30 07:18:19,271000,Silver
194,DrAmp Team,8733824,43,203112,2020-12-31 12:00:02,347000,Silver
202,EVA GAMER,14583879,259,56308,2020-12-31 08:30:01,756000,Silver
203,EVOS TH,12202536,125,97620,2020-12-25 18:30:05,293000,Silver
204,EYETA,23367061,177,132017,2020-12-26 19:30:00,1050000,Gold
205,EasyCooking,1400716,161,8700,2020-12-29 16:30:00,134000,Silver
208,EaterOat,14015497,49,286030,2020-12-26 17:01:10,797000,Silver
209,Eatguide,13385389,106,126277,2020-12-29 18:00:13,154000,Silver
210,Edwin Official,11607387,163,71210,2020-12-27 22:22:34,261000,Silver
212,Ejan,32703171,1989,16442,2020-12-31 23:45:02,879000,Silver
217,English Fit and Firm,1568616,109,14390,2020-12-30 12:45:59,186000,Silver
219,Epic Time,272831219,157,1737778,2020-12-31 16:00:08,4270000,Gold
220,Erk-Erk,679501,766,887,2020-12-10 00:59:31,122000,Silver
222,Evefee,1990378,83,23980,2020-12-28 19:00:14,195000,Silver
224,Extreme IT,25010272,546,45806,2020-12-14 22:08:59,318000,Silver
225,FAPGAMER,56760,32,1773,2020-12-29 19:55:07,229000,Silver
226,FAROSE CHANNEL,7141424,35,204040,2020-12-30 18:00:31,194000,Silver
227,FIFA TarGrean,25275374,176,143610,2020-12-30 19:31:04,1260000,Gold
228,FIFA WaTaFak,34736986,229,151689,2020-12-31 19:42:07,506000,Silver
230,FITWHEY,315289,123,2563,2020-12-24 16:30:01,109000,Silver
231,FNDiary,89000548,330,269698,2020-12-31 20:00:17,805000,Silver
232,FPSThailand,7097826,538,13192,2020-12-31 16:54:31,714000,Silver
233,FZK Frozenkiss,615638,16,38477,2020-12-10 17:40:01,485000,Silver
234,Fah sarika,8549784,78,109612,2020-10-23 19:00:13,769000,Silver
235,FahFah,3576100,83,43085,2020-12-27 18:30:05,284000,Silver
236,Feeling Rock,12737348,90,141526,2020-05-11 17:14:05,1460000,Gold
237,FeelingRock,12591570,135,93270,2020-10-03 23:25:19,1520000,Gold
238,FeelingRock191,3400131,62,54840,2020-12-31 13:49:52,1560000,Gold
240,Fiat,28583736,101,283007,2020-12-31 13:31:01,329000,Silver
241,FiawKunG Channel,4634822,58,79910,2020-12-31 12:10:47,582000,Silver
243,Filllykung,3852073,159,24226,2020-12-27 09:00:04,813000,Silver
246,Fit Kab Dao,26540894,236,112461,2020-12-28 11:45:01,436000,Silver
251,Fitjunctions,5459614,63,86660,2020-12-30 10:00:08,872000,Silver
253,Florence room beauty,89451,30,2981,2020-12-31 12:01:34,147000,Silver
254,FoodTravelTVChannel,222101,49,4532,2020-12-28 11:00:04,2410000,Gold
255,Forcejun,404468,44,9192,2020-12-22 18:00:31,102000,Silver
258,Frennicha,1951205,57,34231,2020-12-20 20:30:27,147000,Silver
262,GAME OVER,22987822,81,283800,2020-12-27 16:15:01,1140000,Gold
265,GU ZAP,83631151,264,316784,2020-12-29 18:00:00,1750000,Gold
267,GYNE GENE,2150888,20,107544,2020-12-30 21:02:57,110000,Silver
268,GZR Gozziira,17099851,59,289827,2020-12-31 17:00:12,914000,Silver
269,GaMe NEW,65668,13,5051,2020-05-08 21:00:12,178000,Silver
271,Gamgy channel,45696355,141,324087,2020-12-27 20:00:23,965000,Silver
275,GibPuri Ch,4732132,295,16041,2020-09-22 22:28:18,909000,Silver
276,Gibpuri Ch,798323,83,9618,2020-12-31 16:00:25,912000,Silver
277,Gladiuz KB,29056484,247,117637,2020-12-31 23:15:36,854000,Silver
278,Gluta Story,32279776,101,319601,2020-12-27 19:15:01,770000,Silver
281,GoyNattyDream Channel,56790672,51,1113542,2020-12-31 10:00:01,620000,Silver
282,Gr13,677895,35,19368,2020-04-21 17:17:35,676000,Silver
283,GrCraft,2520265,55,45823,2020-12-27 08:00:02,761000,Silver
286,Grean Gamer,184344,268,687,2020-12-29 06:45:00,168000,Silver
287,GreatBiker,7053822,300,23512,2020-12-31 10:19:42,227000,Silver
288,Green Ezqelusia,5558170,173,32128,2020-12-31 10:15:03,802000,Silver
